# Oxford B2
## A
abandon v.
absolute adj.
absorb v.
abstract adj.
academic n.
accent n.
acceptable adj.
accidentally adv.
accommodate v.
accompany v.
accomplish v.
account v.
accountant n.
accuracy n.
accurate adj.
accurately adv.
accuse v.
acid n.
acknowledge v.
acquire v.
activate v.
actual adj.
adapt v.
addiction n.
additional adj.
additionally adv.
address v.
adequate adj.
adequately adv.
adjust v.
administration n.
adopt v.
advance n., v., adj.
affair n.
affordable adj.
afterwards adv.
agency n.
agenda n.
aggressive adj.
agriculture n.
aid n., v.
AIDS n.
aircraft n.
alarm v.
alien n.
alongside prep.
alter v.
altogether adv.
ambulance n.
amount v.
amusing adj.
analyst n.
ancestor n.
anger n.
angle n.
animation n.
anniversary n.
annual adj.
annually adv.
anticipate v.
anxiety n.
anxious adj.
apology n.
apparent adj.
apparently adv.
appeal n., v.
applicant n.
approach n., v.
appropriate adj.
appropriately adv.
approval n.
approve v.
arise v.
armed adj.
arms n.
arrow n.
artificial adj.
artistic adj.
artwork n.
ashamed adj.
aside adv.
aspect n.
assess v.
assessment n.
asset n.
assign v.
assistance n.
associate v.
associated adj.
association n.
assume v.
assumption n.
assure v.
astonishing adj.
attachment n.
attempt n., v.
auction n.
audio adj.
automatic adj.
automatically adv.
awareness n.
awkward adj.
## B
back v.
bacteria n.
badge n.
balanced adj.
ballet n.
balloon n.
bar v.
barely adv.
bargain n.
barrier n.
basement n.
basically adv.
basket n.
bat n.
battle v.
bear v.
beat n.
beg v.
being n.
beneficial adj.
bent adj.
beside prep.
besides prep., adv.
bet v., n.
beyond prep., adv.
bias n.
bid n., v.
bill v.
biological adj.
bitter adj.
blame v., n.
blanket n.
blind adj.
blow n.
bold adj.
bombing n.
bond n.
booking n.
boost v., n.
border v.
bound adj.
breast n.
brick n.
brief adj.
briefly adv.
broad adj.
broadcast v., n.
broadcaster n.
broadly adv.
budget n.
bug n.
bullet n.
bunch n.
burn n.
bush n.
but prep.
## C
cabin n.
cable n.
calculate v.
canal n.
cancel v.
cancer n.
candle n.
capable adj.
capacity n.
capture v., n.
carbon n.
cast n., v.
casual adj.
catch n.
cave n.
cell n.
certainty n.
certificate n.
chain v.
chair v.
chairman n.
challenge v.
challenging adj.
championship n.
characteristic n., adj.
charming adj.
chart v.
chase v., n.
cheek n.
cheer v., n.
chief adj., n.
choir n.
chop v.
circuit n.
circumstance n.
cite v.
citizen n.
civil adj.
civilization n.
clarify v.
classic adj., n.
classify v.
clerk n.
cliff n.
clinic n.
clip n.
close n.
closely adv.
coincidence n.
collapse v., n.
collector n.
colony n.
colourful adj.
combination n.
comfort n., v.
comic adj., n.
command n., v.
commander n.
commission n., v.
commitment n.
committee n.
commonly adv.
comparative adj.
completion n.
complex n.
complicated adj.
component n.
compose v.
composer n.
compound n.
comprehensive adj.
comprise v.
compulsory adj.
concentration n.
concept n.
concern n., v.
concerned adj.
concrete adj., n.
conduct v., n.
confess v.
confidence n.
conflict n., v.
confusing adj.
confusion n.
conscious adj.
consequently adv.
conservation n.
conservative adj., n.
considerable adj.
considerably adv.
consideration n.
consistent adj.
consistently adv.
conspiracy n.
constant adj.
constantly adv.
construct v.
construction n.
consult v.
consultant n.
consumption n.
contemporary adj.
contest n., v.
contract n., v.
contribute v.
contribution n.
controversial adj.
controversy n.
convenience n.
convention n.
conventional adj.
convert v.
convey v.
convinced adj.
convincing adj.
cope v.
core n., adj.
corporate adj.
corporation n.
corridor n.
council n.
counter n.
county n.
courage n.
coverage n.
crack v., n.
craft n.
crash n., v.
creation n.
creativity n.
creature n.
credit v.
crew n.
crisis n.
criterion n.
critic n.
critical adj.
critically adv.
criticism n.
criticize v.
crop n.
crucial adj.
cruise n., v.
cry n.
cue n.
cure v., n.
curious adj.
current n.
curriculum n.
curve n., v.
curved adj.
cute adj.
## D
dairy n., adj.
dare v.
darkness n.
database n.
date v.
deadline n.
deadly adj.
dealer n.
debate n., v.
debt n.
decent adj.
deck n.
declare v.
decline v., n.
decoration n.
decrease v., n.
deeply adv.
defeat v., n.
defence n.
defend v.
defender n.
delay v., n.
delete v.
deliberate adj.
deliberately adv.
delight v., n.
delighted adj.
delivery n.
demand n., v.
democracy n.
democratic adj.
demonstrate v.
demonstration n.
deny v.
depart v.
dependent adj.
deposit n.
depressed adj.
depressing adj.
depression n.
depth n.
derive v.
desert v.
deserve v.
desire n., v.
desperate adj.
desperately adv.
destruction n.
detail v.
detailed adj.
detect v.
determination n.
devote v.
differ v.
dig v.
disability n.
disabled adj.
disagreement n.
disappoint v.
disappointment n.
disc n.
discipline n.
discount v.
discourage v.
dishonest adj.
dismiss v.
disorder n.
display v., n.
distant adj.
distinct adj.
distinguish v.
distract v.
distribute v.
distribution n.
district n.
disturb v.
dive v., n.
diverse adj.
diversity n.
divide n.
division n.
divorce n., v.
document v.
domestic adj.
dominant adj.
dominate v.
donation n.
dot n.
downtown n., adj., adv.
downwards adv.
dozen n., det.
draft n., v.
drag v.
dramatic adj.
dramatically adv.
drought n.
dull adj.
dump v.
duration n.
dynamic adj.
## E
economics n.
economist n.
edit v.
edition n.
editorial adj.
efficient adj.
efficiently adv.
elbow n.
elderly adj.
elect v.
electronics n.
elegant adj.
elementary adj.
eliminate v.
elsewhere adv.
embrace v.
emerge v.
emission n.
emotional adj.
emotionally adv.
emphasis n.
emphasize v.
empire n.
enable v.
encounter v., n.
engage v.
enhance v.
enjoyable adj.
enquiry n.
ensure v.
entertaining adj.
enthusiasm n.
enthusiastic adj.
entire adj.
entirely adv.
entrepreneur n.
envelope n.
equal n.
equip v.
equivalent n., adj.
era n.
erupt v.
essentially adv.
establish v.
estate n.
estimate v., n.
ethic n.
ethical adj.
ethnic adj.
evaluate v.
evaluation n.
even adj.
evident adj.
evil adj., n.
evolution n.
evolve v.
examination n.
exceed v.
exception n.
excessive adj.
exclude v.
excuse n., v.
executive n., adj.
exhibit v., n.
existence n.
exit n.
exotic adj.
expansion n.
expectation n.
expense n.
expertise n.
exploit v.
exploration n.
expose v.
exposure n.
extend v.
extension n.
extensive adj.
extensively adv.
extent n.
external adj.
extract n.
extraordinary adj.
extreme n.
## F
fabric n.
fabulous adj.
facility n.
failed adj.
failure n.
faith n.
fake adj.
fame n.
fantasy n.
fare n.
fault n.
favour v.
feather n.
federal adj.
fee n.
feed n.
feedback n.
feel n.
fellow adj.
fever n.
figure v.
file v.
finance n., v.
finding n.
firefighter n.
firework n.
firm adj.
firm n.
firmly adv.
fix n.
flame n.
flash n., v.
flavour n.
flexible adj.
float v.
fold n.
folding adj.
following prep.
fond adj.
fool n.
forbid v.
forecast n., v.
forgive v.
format n.
formation n.
former adj.
formerly adv.
fortunate adj.
fortune n.
forum n.
forward adj.
fossil n.
found v.
foundation n.
founder n.
fraction n.
fragment n.
framework n.
fraud n.
free v.
freedom n.
freely adv.
frequency n.
frequent adj.
fuel v.
fulfil v.
full-time adj./adv.
fully adv.
function v.
fund n., v.
fundamental adj.
fundamentally adv.
funding n.
furious adj.
furthermore adv.
## G
gain v., n.
gaming n.
gang n.
gay adj.
gender n.
gene n.
generate v.
genetic adj.
genius n.
genre n.
genuine adj.
genuinely adv.
gesture n.
gig n.
globalization n.
globe n.
golden adj.
goodness n.
gorgeous adj.
govern v.
governor n.
grab v.
grade v.
gradually adv.
grand adj.
grant v., n.
graphic adj.
graphics n.
greatly adv.
greenhouse n.
grocery n.
guarantee v., n.
guideline n.
## H
habitat n.
handle v., n.
harbour n.
harm n., v.
harmful adj.
headquarters n.
heal v.
healthcare n.
hearing n.
heaven n.
heel n.
hell n.
helmet n.
hence adv.
herb n.
hesitate v.
hidden adj.
high n.
highway n.
hilarious adj.
hip n.
hire n.
historian n.
hold n.
hollow adj.
holy adj.
homeless adj.
honesty n.
honour n., v.
hook n.
hopefully adv.
host v.
house v.
household n.
housing n.
humorous adj.
humour n.
hunger n.
hunt n.
hunting n.
hurt n.
hypothesis n.
## I
icon n.
ID n.
ideal n.
identical adj.
illusion n.
illustrate v.
illustration n.
imagination n.
immigration n.
immune adj.
impatient adj.
implement v.
implication n.
imply v.
impose v.
impress v.
impressed adj.
incentive n.
inch n.
incident n.
income n.
incorporate v.
incorrect adj.
increasingly adv.
independence n.
index n.
indication n.
industrial adj.
inevitable adj.
inevitably adv.
infection n.
infer v.
inflation n.
info n.
inform v.
infrastructure n.
inhabitant n.
inherit v.
initial adj.
initially adv.
initiative n.
ink n.
inner adj.
innovation n.
innovative adj.
input n.
insert v.
insight n.
insist v.
inspector n.
inspire v.
install v.
installation n.
instance n.
instant adj.
instantly adv.
institute n.
institution n.
insurance n.
integrate v.
intellectual adj.
intended adj.
intense adj.
interact v.
interaction n.
internal adj.
interpret v.
interpretation n.
interrupt v.
interval n.
invade v.
invasion n.
investigation n.
investment n.
investor n.
isolate v.
isolated adj.
issue v.
## J
jail n., v.
jet n.
joint adj., n.
journalism n.
joy n.
judgement n.
junior adj.
jury n.
justice n.
justify v.
## K
kit n.
## L
labour n.
ladder n.
landing n.
landscape n.
lane n.
largely adv.
lately adv.
latest n.
launch v., n.
leadership n.
leaflet n.
league n.
lean v.
leave n.
legend n.
lens n.
level v.
licence n.
lifetime n.
lighting n.
likewise adv.
limitation n.
limited adj.
line v.
literally adv.
literary adj.
litre n.
litter n.
lively adj.
load n., v.
loan n.
logical adj.
logo n.
long-term adj., adv.
loose adj.
lord n.
lottery n.
low n.
lower v.
loyal adj.
lung n.
lyric n.
## M
magnificent adj.
maintain v.
majority n.
make n.
make-up n.
making n.
manufacture v.
manufacturing n.
map v.
marathon n.
margin n.
marker n.
martial adj.
mass n., adj.
massive adj.
master n., v.
matching adj.
mate n., v.
material adj.
maximum adj., n.
mayor n.
means n.
measurement n.
mechanic n.
mechanical adj.
mechanism n.
medal n.
medication n.
medium n.
melt v.
membership n.
memorable adj.
metaphor n.
military adj., n.
miner n.
mineral n.
minimum adj., n.
minister n.
minor adj.
minority n.
miserable adj.
mission n.
mistake v.
mixed adj.
mode n.
model v.
modest adj.
modify v.
monitor n., v.
monster n.
monthly adj.
monument n.
moral adj., n.
moreover adv.
mortgage n.
mosque n.
motion n.
motivate v.
motivation n.
motor n., adj.
mount v.
moving adj.
multiple adj.
multiply v.
mysterious adj.
myth n.
## N
naked adj.
narrow v.
nasty adj.
national n.
navigation n.
nearby adj., adv.
neat adj.
necessity n.
negative n.
negotiate v.
negotiation n.
nerve n.
neutral adj.
nevertheless adv.
newly adv.
nightmare n.
norm n.
notebook n.
notion n.
novelist n.
nowadays adv.
numerous adj.
nursing adj.
nutrition n.
## O
obesity n.
obey v.
object v.
objective n., adj.
obligation n.
observation n.
observe v.
observer n.
obstacle n.
obtain v.
occasionally adv.
occupation n.
occupy v.
offence n.
offend v.
offender n.
offensive adj.
official n.
ongoing adj.
opening n.
openly adv.
opera n.
operate v.
operator n.
opponent n.
oppose v.
opposed adj.
opposition n.
optimistic adj.
orchestra n.
organ n.
organic adj.
origin n.
otherwise adv.
outcome n.
outer adj.
outfit n.
outline n., v.
output n.
outstanding adj.
overall adj., adv.
overcome v.
overnight adv.
overseas adv., adj.
owe v.
ownership n.
oxygen n.
## P
pace n., v.
package v.
packet n.
palm n.
panel n.
panic n.
parade n.
parallel adj., n.
parliament n.
part-time adj./adv.
participant n.
participation n.
partly adv.
partnership n.
passage n.
passionate adj.
password n.
patience n.
patient adj.
pause v., n.
peer n.
penalty n.
pension n.
perceive v.
perception n.
permanent adj.
permanently adv.
permit v., n.
perspective n.
phase n.
phenomenon n.
philosophy n.
pick n.
picture v.
pile n., v.
pill n.
pitch n.
pity n.
placement n.
plain adj.
plot v.
plus adj., n., conj.
pointed adj.
popularity n.
portion n.
pose v.
position v.
positive n.
possess v.
potential adj., n.
potentially adv.
power v.
praise n., v.
precede v.
precious adj.
precise adj.
precisely adv.
predictable adj.
preference n.
pregnant adj.
preparation n.
presence n.
preserve v.
price v.
pride n.
primarily adv.
prime adj.
principal adj.
principle n.
print n.
prior adj.
priority n.
privacy n.
probability n.
probable adj.
procedure n.
proceed v.
process v.
produce n.
professional n.
programming n.
progress v.
progressive adj.
prohibit v.
project v.
promising adj.
promotion n.
prompt v.
proof n.
proportion n.
proposal n.
propose v.
prospect n.
protection n.
protein n.
protester n.
psychological adj.
psychologist n.
psychology n.
publication n.
publicity n.
publishing n.
punk n.
pupil n.
purchase n., v.
pure adj.
purely adv.
pursue v.
pursuit n.
puzzle n.
## Q
questionnaire n.
## R
racial adj.
racism n.
racist adj., n.
radiation n.
rail n.
random adj.
range v.
rank n., v.
rapid adj.
rapidly adv.
rat n.
rate v.
rating n.
raw adj.
reach n.
realistic adj.
reasonable adj.
reasonably adv.
rebuild v.
recall v.
receiver n.
recession n.
reckon v.
recognition n.
recover v.
recovery n.
recruit v., n.
recruitment n.
reduction n.
referee n.
refugee n.
regard v., n.
regional adj.
register v., n.
registration n.
regret v., n.
regulate v.
regulation n.
reinforce v.
relatively adv.
relevant adj.
relief n.
relieve v.
relieved adj.
rely v.
remark n., v.
remarkable adj.
remarkably adv.
reporting n.
representative n., adj.
reputation n.
requirement n.
rescue v., n.
reserve n., v.
resident n., adj.
resign v.
resist v.
resolution n.
resolve v.
resort n.
restore v.
restrict v.
restriction n.
retail n.
retain v.
retirement n.
reveal v.
revenue n.
revision n.
revolution n.
reward n., v.
rhythm n.
rid v.
ridiculous adj.
risky adj.
rival n., adj.
rob v.
robbery n.
rocket n.
romance n.
root n.
rose n.
roughly adv.
round n.
routine adj.
rub v.
rubber n., adj.
ruin v., n.
rural adj.
rush v., n.
## S
sample v.
satellite n.
satisfaction n.
satisfied adj.
satisfy v.
saving n.
scale n.
scandal n.
scare v., n.
scenario n.
schedule v.
scheme n.
scholar n.
scholarship n.
scratch v., n.
scream v., n.
screen v.
screening n.
seat v.
sector n.
secure v., adj.
seek v.
seeker n.
select v.
selection n.
self n.
seminar n.
senior adj.
sense v.
sensitive adj.
sentence v.
sequence n.
session n.
settle v.
settler n.
severe adj.
severely adv.
sexy adj.
shade n.
shadow n.
shallow adj.
shame n.
shape v.
shaped adj.
shelter n., v.
shift v.
ship v.
shock n., v.
shocked adj.
shocking adj.
shooting n.
shore n.
short-term adj.
shortage n.
shortly adv.
shot n.
sibling n.
signature n.
significance n.
significant adj.
significantly adv.
silence n.
silk n.
sincere adj.
skilled adj.
skull n.
slave n.
slide v., n.
slight adj.
slip v.
slogan n.
slope n., v.
so-called adj.
solar adj.
somehow adv.
sometime adv.
somewhat adv.
sophisticated adj.
soul n.
spare adj.
specialist n., adj.
specialize v.
species n.
specify v.
spectacular adj.
spectator n.
speculate v.
speculation n.
speed v.
spice n.
spill v.
spiritual adj.
spite n.
split v., n.
spoil v.
spokesman n.
spokesperson n.
spokeswoman n.
sponsor v., n.
sponsorship n.
sporting adj.
spot v.
spread n.
stable adj.
stage v.
stall n.
